ID	ratios
gene105 	 0.32737 
gene106 	 0.23406 
gene107 	 0.021466 
gene108 	 -1.0039 
gene109 	 -0.94715 
gene110 	 -0.37443 
gene111 	 -1.1859 
gene112 	 -1.0559 
gene113 	 1.4725 
gene114 	 0.055744 
gene115 	 -1.2173 
gene116 	 -0.041227 
gene117 	 -1.1283 
gene118 	 -1.3493 
gene119 	 -0.2611 
gene120 	 0.95347 
gene121 	 0.12864 
gene122 	 0.65647 
gene123 	 -1.1678 
gene124 	 -0.46061 
gene125 	 -0.26244 
gene126 	 -1.2132 
gene127 	 -1.3194 
gene128 	 0.93122 
gene129 	 0.011245 
gene130 	 -0.64515 
gene131 	 0.80573 
gene132 	 0.23163 
gene133 	 -0.98976 
gene134 	 1.3396 
gene135 	 0.2895 
gene136 	 1.4789 
gene137 	 1.138 
gene138 	 -0.68414 
gene139 	 -1.2919 
gene140 	 -0.072926 
gene141 	 -0.3306 
gene142 	 -0.84363 
gene143 	 0.49777 
gene144 	 1.4885 
gene145 	 -0.54648 
gene146 	 -0.84676 
gene147 	 -0.24634 
gene148 	 0.66302 
gene149 	 -0.8542 
gene150 	 -1.2013 
gene151 	 -0.11987 
gene152 	 -0.065294 
gene153 	 0.4853 
gene154 	 -0.59549 
gene155 	 -0.14967 
gene156 	 -0.43475 
gene157 	 -0.07933 
gene158 	 1.5352 
gene159 	 -0.60648 
gene160 	 -1.3474 
gene161 	 0.46938 
gene162 	 -0.90357 
gene163 	 0.03588 
gene164 	 -0.62753 
gene165 	 0.5354 
gene166 	 0.55288 
gene167 	 -0.20369 
gene168 	 -2.0543 
gene169 	 0.13256 
gene170 	 1.5929 
gene171 	 1.0184 
gene172 	 -1.5804 
gene173 	 -0.078662 
gene174 	 -0.68166 
gene175 	 -1.0246 
gene176 	 -1.2344 
gene177 	 0.28881 
gene178 	 -0.4293 
gene179 	 0.055801 
gene180 	 -0.36787 
gene181 	 -0.46497 
gene182 	 0.37096 
gene183 	 0.72828 
gene184 	 2.1122 
gene185 	 -1.3573 
gene186 	 -1.0226 
gene187 	 1.0378 
gene188 	 -0.3898 
gene189 	 -1.3813 
gene190 	 0.31554 
gene191 	 1.5532 
gene192 	 0.70789 
gene193 	 1.9574 
gene194 	 0.50454 
gene195 	 1.8645 
gene196 	 -0.33981 
gene197 	 -1.1398 
gene198 	 -0.21112 
gene199 	 1.1902 
gene200 	 -1.1162 
gene201 	 0.63527 
gene202 	 -0.60141 
gene203 	 0.55118 
gene204 	 -1.0998 
gene205 	 0.085991 
gene206 	 -2.0046 
gene207 	 -0.49309 
gene208 	 0.46205 
gene209 	 -0.321 
gene210 	 1.2366 
gene211 	 -0.63128 
gene212 	 -2.3252 
gene213 	 -1.2316 
gene214 	 1.0556 
gene215 	 -0.11322 
gene216 	 0.37922 
gene217 	 0.9442 
gene218 	 -2.1204 
gene219 	 -0.64468 
gene220 	 -0.7043 
gene221 	 -1.0181 
gene222 	 -0.18208 
gene223 	 1.521 
gene224 	 -0.038439 
gene225 	 1.2274 
gene226 	 -0.6962 
gene227 	 0.0075245 
gene228 	 -0.78289 
gene229 	 0.58694 
gene230 	 -0.25121 
gene231 	 0.48014 
gene232 	 0.66816 
gene233 	 -0.078321 
gene234 	 0.88917 
gene235 	 2.3093 
gene236 	 0.52464 
gene237 	 -0.011787 
gene238 	 0.91314 
gene239 	 0.055941 
gene240 	 -1.1071 
gene241 	 0.4855 
gene242 	 -0.0050051 
gene243 	 -0.27622 
gene244 	 1.2765 
gene245 	 1.8634 
gene246 	 -0.52256 
gene247 	 0.10342 
gene248 	 -0.80765 
gene249 	 0.68044 
gene250 	 -2.3646 
gene251 	 0.99011 
gene252 	 0.2189 
gene253 	 0.26166 
gene254 	 1.2134 
gene255 	 -0.27467 
gene256 	 -0.13313 
gene257 	 -1.2705 
gene258 	 -1.6636 
gene259 	 -0.70355 
gene260 	 0.28088 
gene261 	 -0.54121 
gene262 	 -1.3335 
gene263 	 1.0727 
gene264 	 -0.71209 
gene265 	 -0.011286 
gene266 	 -0.00081703 
gene267 	 -0.24944 
gene268 	 0.39658 
gene269 	 -0.26401 
gene270 	 -1.664 
gene271 	 -1.029 
gene272 	 0.24309 
gene273 	 -1.2566 
gene274 	 -0.34718 
gene275 	 -0.94137 
gene276 	 -1.1746 
gene277 	 -1.0211 
gene278 	 -0.40167 
gene279 	 0.17367 
gene280 	 -0.11612 
gene281 	 1.0641 
gene282 	 -0.24539 
gene283 	 -1.5175 
gene284 	 0.0097342 
gene285 	 0.071373 
gene286 	 0.31654 
gene287 	 0.49983 
gene288 	 1.2781 
gene289 	 -0.54782 
gene290 	 0.26081 
gene291 	 -0.013177 
gene292 	 -0.58026 
gene293 	 2.1363 
gene294 	 -0.25762 
gene295 	 -1.4095 
gene296 	 1.7701 
gene297 	 0.32555 
gene298 	 -1.119 
gene299 	 0.62035 
gene300 	 1.2698 
gene301 	 -0.89604 
gene302 	 0.13518 
gene303 	 -0.13904 
gene304 	 -1.1634 
gene305 	 1.1837 
gene306 	 -0.01543 
gene307 	 0.53622 
gene308 	 -0.71643 
gene309 	 -0.65556 
gene310 	 0.31436 
gene311 	 0.10681 
gene312 	 1.8482 
gene313 	 -0.27511 
gene314 	 2.2126 
gene315 	 1.5085 
gene316 	 -1.9451 
gene317 	 -1.6805 
gene318 	 -0.57353 
gene319 	 -0.18582 
gene320 	 0.0089341 
gene321 	 0.83695 
gene322 	 -0.72227 
gene323 	 -0.72149 
gene324 	 -0.20118 
gene325 	 -0.020464 
gene326 	 0.27889 
gene327 	 1.0583 
gene328 	 0.62167 
gene329 	 -1.7506 
gene330 	 0.69735 
gene331 	 0.81149 
gene332 	 0.63634 
gene333 	 1.3101 
gene334 	 0.3271 
gene335 	 -0.67299 
gene336 	 -0.14933 
gene337 	 -2.449 
gene338 	 0.47329 
gene339 	 0.11695 
gene340 	 -0.5911 
gene341 	 -0.65471 
gene342 	 -1.0807 
gene343 	 -0.047731 
gene344 	 0.37934 
gene345 	 -0.33036 
gene346 	 -0.4999 
gene347 	 -0.035979 
gene348 	 -0.17476 
gene349 	 -0.95727 
gene350 	 1.2925 
gene351 	 0.44091 
gene352 	 1.2809 
gene353 	 -0.49773 
gene354 	 -1.1187 
gene355 	 0.80765 
gene356 	 0.0412 
gene357 	 -0.75621 
gene358 	 -0.089129 
gene359 	 -2.0089 
gene360 	 1.0839 
gene361 	 -0.98119 
gene362 	 -0.68849 
gene363 	 1.3395 
gene364 	 -0.90924 
gene365 	 -0.41286 
gene366 	 -0.50616 
gene367 	 1.6197 
gene368 	 0.080901 
gene369 	 -1.0811 
gene370 	 -1.1245 
gene371 	 1.7357 
gene372 	 1.9375 
gene373 	 1.6351 
gene374 	 -1.2559 
gene375 	 -0.21354 
gene376 	 -0.19893 
gene377 	 0.3075 
gene378 	 -0.57233 
gene379 	 -0.97765 
gene380 	 -0.44681 
gene381 	 1.0821 
gene382 	 2.3726 
gene383 	 0.22929 
gene384 	 -0.26662 
gene385 	 0.70167 
gene386 	 -0.48759 
gene387 	 1.8625 
gene388 	 1.1069 
gene389 	 -1.2276 
gene390 	 -0.66989 
gene391 	 1.3409 
gene392 	 0.38808 
gene393 	 0.39306 
gene394 	 -1.7073 
gene395 	 0.22786 
gene396 	 0.68563 
gene397 	 -0.63679 
gene398 	 -1.0026 
gene399 	 -0.18562 
gene400 	 -1.054 
gene401 	 -0.071539 
gene402 	 0.2792 
gene403 	 1.3733 
gene404 	 0.17984 
gene405 	 -0.54202 
gene406 	 1.6342 
gene407 	 0.82522 
gene408 	 0.23076 
gene409 	 0.67163 
gene410 	 -0.50808 
gene411 	 0.85635 
gene412 	 0.2685 
gene413 	 0.62498 
gene414 	 -1.0473 
gene415 	 1.5357 
gene416 	 0.43443 
gene417 	 -1.9171 
gene418 	 0.46994 
gene419 	 1.2744 
gene420 	 0.63854 
gene421 	 1.3808 
gene422 	 1.3198 
gene423 	 -0.90943 
gene424 	 -2.3056 
gene425 	 1.7887 
gene426 	 0.3908 
gene427 	 0.020324 
gene428 	 -0.40598 
gene429 	 -1.5349 
gene430 	 0.22137 
gene431 	 -1.3745 
gene432 	 -0.83929 
gene433 	 -0.20864 
gene434 	 0.75591 
gene435 	 0.37573 
gene436 	 -1.3454 
gene437 	 1.4819 
gene438 	 0.032736 
gene439 	 1.8705 
gene440 	 -1.209 
gene441 	 -0.78263 
gene442 	 -0.7673 
gene443 	 -0.1072 
gene444 	 -0.97706 
gene445 	 -0.96399 
gene446 	 -2.3792 
gene447 	 -0.83819 
gene448 	 0.25735 
gene449 	 -0.18383 
gene450 	 -0.16762 
gene451 	 -0.11699 
gene452 	 0.16849 
gene453 	 -0.50121 
gene454 	 -0.70508 
gene455 	 0.50816 
gene456 	 -0.42092 
gene457 	 0.22913 
gene458 	 -0.9595 
gene459 	 -0.14604 
gene460 	 0.74454 
gene461 	 -0.8905 
gene462 	 0.13906 
gene463 	 -0.23614 
gene464 	 -0.075459 
gene465 	 -0.35857 
gene466 	 -2.0776 
gene467 	 -0.14355 
gene468 	 1.3933 
gene469 	 0.6518 
gene470 	 -0.37713 
gene471 	 -0.66144 
gene472 	 0.24896 
gene473 	 -0.38352 
gene474 	 -0.52848 
gene475 	 0.055388 
gene476 	 1.2538 
gene477 	 -2.52 
gene478 	 0.58486 
gene479 	 -1.0081 
gene480 	 0.94428 
gene481 	 -2.424 
gene482 	 -0.22383 
gene483 	 0.05807 
gene484 	 -0.42461 
gene485 	 -0.20292 
gene486 	 -1.5131 
gene487 	 -1.1264 
gene488 	 -0.815 
gene489 	 0.36661 
gene490 	 -0.58611 
gene491 	 1.5374 
gene492 	 0.14007 
gene493 	 -1.8628 
gene494 	 -0.45419 
gene495 	 -0.65207 
gene496 	 0.10332 
gene497 	 -0.22063 
gene498 	 -0.27904 
gene499 	 -0.73366 
gene500 	 -0.064534 
